TEAM_ID,NICKNAME,YEARFOUNDED,CITY,ARENACAPACITY
1610612737,Hawks,1949,Atlanta,18729
1610612738,Celtics,1946,Boston,18624
1610612739,Cavaliers,1970,Cleveland,20562
1610612740,Pelicans,2002,New Orleans,0
1610612741,Bulls,1966,Chicago,21711
1610612742,Mavericks,1980,Dallas,19200
1610612743,Nuggets,1976,Denver,19099
1610612744,Warriors,1946,Golden State,19596
1610612745,Rockets,1967,Houston,18104
1610612746,Clippers,1970,Los Angeles,19060
1610612747,Lakers,1948,Los Angeles,19060
1610612748,Heat,1988,Miami,19600
1610612749,Bucks,1968,Milwaukee,17500
1610612750,Timberwolves,1989,Minnesota,19356
1610612751,Nets,1976,Brooklyn,0
1610612752,Knicks,1946,New York,19763
1610612753,Magic,1989,Orlando,0
1610612754,Pacers,1976,Indiana,18345
1610612755,76ers,1949,Philadelphia,0
1610612756,Suns,1968,Phoenix,0
1610612757,Trail Blazers,1970,Portland,19980
1610612758,Kings,1948,Sacramento,17500
1610612759,Spurs,1976,San Antonio,18694
1610612760,Thunder,1967,Oklahoma City,19163
1610612761,Raptors,1995,Toronto,19800
1610612762,Jazz,1974,Utah,20148
1610612763,Grizzlies,1995,Memphis,18119
1610612764,Wizards,1961,Washington,20647
1610612765,Pistons,1948,Detroit,21000
1610612766,Hornets,1988,Charlotte,19026
